OBJECTID,JDMC,ATM,KTV,三星级酒店,专科医院,世界遗产,中介,中国菜,中学,乒乓球,二手车,五星级酒店,产业园,会展展览,住宅区,便利店,保险,保龄球,信息咨询中心,停车场,健身中心,充电站,免税店,公交站,公共事业,公厕,公司,公园,其他,其他能源站,写字楼,农家乐,农林牧渔,冰雪运动,别墅区,剧场,加气站,加油站,动物医疗,动物园,医药销售,博物馆,口岸,台球,咖啡,商业街,商住两用楼宇,四星级酒店,图书馆,地铁,培训单位,壁球,外国菜,天文馆,宗教,家居建材,家电数码,宿舍,小吃快餐,小学,工业大楼,工厂,市场,幼儿园,广场,广播电视,度假养老,彩票销售,急救中心,成人教育,户外健身场所,投资理财,摄影打印,收费站,文体用品,文化宫,新闻出版,旅馆,景点,服务区,档案馆,棋牌室,植物园,橄榄球,水上运动,水族馆,汽车养护,汽车租赁,汽车维修,汽车配件,汽车销售,洗浴推拿,洗衣,洗车,港口码头,游乐场,游泳,火车,物流,电影院,电讯营业厅,疾病预防,百货商场,社区中心,科技馆,科研单位,篮球,红色旅游,纪念馆,经济型连锁酒店,综合体育馆,综合医院,网吧,网球,美容理发,美术展览,羽毛球,职业技术教育,艺术团体,花鸟鱼虫,茶座,蛋糕甜品店,诊所,购物中心,超市,足球,跆拳道,轮渡,邮局,酒吧,银行,长途汽车,露营地,青旅,飞机,马术&赛马,驾校,高尔夫球,高等教育
149,大良街道,95,13,3,101,0,342,2232,17,3,56,1,52,8,591,932,44,0,8,1557,59,67,1,329,5,179,2801,51,7068,1,235,5,16,1,4,5,1,8,35,0,409,4,0,8,133,21,34,9,5,12,647,0,127,0,31,1917,520,15,490,29,0,96,602,94,19,3,6,86,0,7,1,30,127,4,115,11,2,159,20,0,2,52,1,0,4,1,154,30,309,147,197,253,30,28,5,19,20,2,251,10,77,11,27,4,0,26,13,4,3,22,11,54,33,1,1063,4,7,11,4,147,86,577,65,13,121,2,7,1,12,51,127,1,0,3,0,1,18,0,16
150,车陂街道,9,1,1,13,0,31,478,4,0,3,0,26,1,63,185,2,0,1,210,16,22,2,29,0,5,692,3,1052,0,67,0,1,0,0,1,1,2,5,0,53,0,0,4,11,3,3,0,1,11,107,0,12,0,11,769,74,1,128,3,0,6,104,19,2,0,1,20,0,0,0,5,24,0,9,0,1,55,4,0,0,9,0,0,0,0,16,12,23,15,10,22,11,2,0,1,6,0,108,0,20,0,3,0,0,0,2,0,1,7,1,3,7,1,193,1,1,0,0,17,3,81,25,0,31,1,1,0,1,5,16,0,0,2,0,0,12,0,1
151,江埔街道,33,13,6,32,0,105,830,3,1,23,0,7,1,121,443,26,0,0,372,10,19,2,139,1,32,623,8,2166,0,35,6,21,0,3,0,0,13,5,0,109,2,0,3,31,5,8,5,6,6,181,0,59,0,10,462,147,8,127,18,0,29,212,27,8,2,4,16,1,1,0,2,42,6,32,7,1,41,8,0,2,4,0,0,0,1,62,16,67,62,67,57,11,7,1,5,4,0,104,7,32,1,9,4,1,7,5,0,0,6,3,10,5,0,388,0,2,8,0,22,7,165,30,2,42,2,3,0,5,40,39,2,0,0,0,0,22,0,12
152,长兴街道,14,2,3,10,0,23,682,2,1,1,0,39,0,44,224,0,0,1,286,10,22,1,44,1,33,659,6,1480,0,22,3,3,2,0,1,1,4,5,0,54,0,0,5,13,7,2,0,1,13,116,0,31,0,8,121,74,6,200,7,0,6,87,21,4,0,7,17,1,2,0,0,32,1,20,3,1,65,9,0,0,12,16,0,0,0,29,13,54,137,33,35,8,4,0,1,3,0,104,1,27,0,3,1,0,18,5,0,0,4,1,9,9,0,174,2,2,7,1,22,9,97,24,3,35,2,1,0,14,7,10,1,0,1,0,2,22,0,12
153,元岗街道,2,1,1,10,0,15,238,1,0,1,0,14,1,20,121,0,0,0,92,6,20,1,30,0,6,299,0,776,0,14,0,0,0,0,0,0,1,1,0,30,0,0,2,4,4,0,1,0,1,14,0,4,0,1,92,22,5,76,4,0,3,92,12,0,0,1,11,0,4,0,0,29,0,79,0,0,32,1,0,0,5,0,0,0,0,26,4,23,48,6,10,3,1,0,0,0,0,73,0,6,0,2,0,0,0,1,0,0,3,1,3,3,0,52,0,0,1,0,7,1,27,7,0,10,0,1,0,2,5,3,0,0,0,0,0,2,0,19
154,街口街道,13,2,1,28,0,45,374,4,1,4,0,1,0,76,269,3,0,0,162,2,2,0,28,1,10,223,2,973,0,9,0,1,1,3,0,0,2,1,0,49,0,0,1,2,0,7,1,1,0,111,0,13,0,5,280,99,0,78,8,0,3,112,24,1,0,0,11,1,0,0,0,27,0,25,5,0,9,3,0,0,0,0,0,0,0,18,2,12,10,6,25,6,2,0,3,2,0,37,0,12,0,3,0,0,1,1,0,1,0,0,8,9,0,177,0,0,2,0,21,7,67,15,0,15,1,1,0,1,5,14,0,0,0,0,0,2,0,0
155,凤凰街道,5,1,0,3,0,12,458,6,0,1,0,23,0,19,197,1,0,1,117,2,8,0,45,0,22,568,3,988,0,10,2,12,0,0,1,0,2,1,0,38,1,0,6,4,1,0,0,2,6,48,0,8,0,6,170,35,5,124,6,0,18,73,21,3,0,3,6,0,2,0,1,15,2,9,4,0,53,6,0,0,10,1,0,0,0,81,5,36,34,27,11,1,5,0,0,3,0,98,0,11,0,1,1,0,5,0,0,0,1,1,5,2,0,79,1,0,7,0,12,1,66,9,0,42,0,0,0,2,3,4,0,0,1,0,0,17,0,15
156,流溪河林场,0,0,3,0,0,0,28,0,0,0,0,0,0,4,5,0,0,1,8,0,3,0,16,0,11,5,0,100,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,1,1,0,2,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
157,黄龙带水库管理处,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,东涌镇,17,4,0,9,0,18,515,6,0,3,0,54,4,20,313,5,0,1,123,2,24,0,138,0,16,1119,11,1351,0,11,15,48,1,0,1,0,10,2,0,76,0,0,5,4,3,2,0,0,1,133,0,9,0,0,378,127,2,137,21,1,80,103,27,4,0,2,15,0,3,0,0,15,9,17,5,0,39,0,0,0,2,0,0,0,1,23,4,53,23,20,21,2,1,11,3,0,0,114,0,46,0,8,5,0,4,4,0,1,0,1,15,4,0,195,1,3,4,1,22,6,124,19,1,26,2,2,0,5,6,19,0,0,0,0,0,17,0,2
159,五山街道,25,0,3,16,0,56,385,4,1,1,1,23,8,103,122,1,0,0,345,17,11,0,45,0,24,529,5,1034,0,47,0,4,0,0,1,0,1,10,0,40,1,0,1,17,1,9,1,13,4,165,0,29,0,1,54,21,117,107,7,0,4,88,24,6,0,0,7,0,20,1,2,30,4,20,1,5,26,10,1,3,8,0,0,0,0,12,5,19,4,3,27,9,1,0,0,9,0,82,3,11,0,10,1,1,195,9,0,3,6,7,18,9,4,117,0,1,13,0,9,9,56,12,1,22,2,3,0,9,9,24,0,0,0,0,0,11,0,233
160,兴华街道,14,1,2,25,0,46,340,8,0,1,1,8,3,65,215,0,0,1,218,15,20,0,24,0,13,477,1,879,0,31,1,1,0,0,0,0,6,3,0,34,0,0,2,9,1,4,4,1,10,97,0,9,0,2,399,34,6,76,6,0,2,163,23,0,0,3,9,0,3,0,0,13,4,11,1,0,16,1,0,0,6,0,0,0,0,21,7,48,65,10,28,9,2,0,3,2,0,113,1,22,1,4,0,0,10,5,0,0,8,1,12,5,2,127,2,1,7,0,9,2,46,11,0,10,0,1,0,3,8,17,0,0,2,0,0,6,0,7
161,珠吉街道,8,4,0,21,0,21,617,3,2,2,0,33,1,29,292,0,0,1,154,16,8,0,41,0,23,671,4,1412,0,38,1,3,0,1,0,0,2,0,0,61,1,0,2,7,0,2,1,1,1,62,0,13,0,22,349,90,3,200,4,0,13,110,22,2,0,1,12,0,3,1,1,20,0,29,4,0,78,10,0,0,14,0,0,0,0,28,14,58,21,34,41,15,5,0,13,1,1,123,1,19,0,11,2,0,0,5,0,1,7,1,3,12,0,188,0,1,6,0,15,5,107,30,3,52,3,2,0,1,5,7,0,0,0,0,1,15,0,2
162,冼村街道,68,13,4,118,0,85,601,4,1,1,4,8,3,95,122,20,0,1,457,69,26,3,32,1,57,905,2,1890,0,95,0,1,0,1,2,0,0,10,0,75,1,0,2,87,6,21,5,1,7,208,0,123,0,10,101,63,2,153,7,1,1,87,16,1,0,1,18,1,1,0,31,53,0,23,4,6,10,2,0,0,12,0,0,0,0,11,6,5,0,16,62,8,1,0,3,15,0,37,4,10,1,15,2,1,8,2,0,0,14,3,17,7,0,275,0,2,0,0,49,16,109,38,8,18,0,1,0,2,60,96,0,0,2,0,0,1,1,3
163,员村街道,17,5,2,33,0,60,603,8,1,0,1,18,5,116,227,0,0,0,335,23,24,1,51,0,22,371,2,1453,0,45,0,3,0,0,0,0,4,9,0,76,0,0,3,16,5,10,1,2,14,90,0,31,0,3,300,59,6,155,11,0,3,133,22,1,0,2,22,0,6,0,2,24,7,19,5,2,38,2,0,0,15,0,0,0,0,14,15,32,3,6,60,11,6,0,1,2,0,74,1,32,1,7,0,0,10,3,0,0,10,1,25,2,2,207,2,5,0,1,33,22,121,28,0,34,2,0,0,5,7,19,0,0,4,0,0,10,2,11
164,新塘街道,8,2,0,4,0,23,473,1,0,0,2,38,0,31,168,1,0,0,212,4,26,0,53,0,7,703,5,963,0,38,2,2,0,0,0,0,0,1,0,45,1,0,4,18,1,0,0,1,5,48,0,22,0,3,80,49,6,167,4,0,6,71,18,2,0,2,11,0,1,0,2,25,4,9,0,0,44,1,0,0,2,0,0,0,0,15,11,23,6,4,18,4,1,0,0,1,0,83,2,18,0,4,0,0,4,2,0,1,6,0,4,5,1,133,0,2,1,0,19,3,68,13,1,28,0,1,0,3,14,10,0,0,0,0,0,12,2,6
165,棠下街道,24,5,3,26,0,50,824,2,3,0,1,21,0,140,249,0,0,1,313,27,20,1,33,0,13,433,4,1569,0,56,0,5,0,1,0,0,2,10,0,85,0,0,3,16,6,4,3,2,0,199,0,44,0,4,91,55,59,261,9,0,3,168,25,3,0,2,22,1,3,0,1,29,6,24,3,1,84,4,3,0,16,0,0,0,0,22,32,35,8,14,60,10,1,0,2,7,1,97,3,34,1,7,2,0,42,2,0,1,8,4,11,18,3,228,3,6,3,2,29,9,139,22,0,34,0,2,0,7,5,20,0,0,5,0,0,14,4,31
166,龙凤街道,3,0,1,3,0,25,147,2,0,0,0,9,1,78,91,0,0,0,96,6,6,1,16,0,25,145,0,430,0,10,0,0,0,0,1,0,1,1,0,12,0,0,1,13,1,2,0,0,7,25,0,7,0,5,54,10,3,41,8,0,1,61,11,1,0,2,4,0,2,0,0,9,0,3,0,0,14,4,0,1,15,0,0,0,0,8,1,2,2,2,8,2,4,4,0,1,0,42,0,13,0,1,1,0,4,1,0,0,0,1,4,1,1,49,0,0,1,0,8,8,35,5,0,6,1,0,1,1,4,3,0,0,1,0,0,1,0,0
167,沙东街道,0,0,1,3,0,2,70,1,0,0,0,4,0,14,25,0,0,0,21,0,2,0,1,0,2,88,0,192,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,1,0,2,0,2,18,6,2,14,1,0,2,17,4,1,0,0,1,0,1,0,0,3,0,1,0,0,4,1,0,0,1,0,0,0,0,1,0,5,99,7,1,0,0,0,0,0,0,25,0,7,0,1,0,0,1,2,0,0,1,0,2,1,0,18,0,0,1,0,3,0,7,3,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
168,龙洞街道,7,6,2,15,0,7,555,6,1,1,0,15,1,24,146,1,0,0,110,6,7,0,33,0,16,237,5,1117,0,5,1,2,0,0,0,0,2,3,0,46,1,0,6,11,2,1,0,1,6,83,0,51,0,5,60,36,17,205,4,0,4,81,15,4,0,1,9,0,0,0,0,22,2,18,2,0,48,2,0,0,4,1,0,0,0,28,7,25,16,17,39,6,2,0,4,4,0,86,4,12,1,3,1,0,3,2,0,1,5,2,5,8,0,139,0,0,5,0,20,2,100,14,2,25,0,0,0,3,12,9,0,0,0,0,0,15,0,14
169,天河南街道,35,10,8,42,0,27,473,2,0,0,3,0,1,75,100,18,1,1,293,31,22,2,27,0,91,590,3,2848,0,84,0,0,2,0,1,0,0,3,0,52,3,0,2,98,7,13,3,0,17,153,0,101,0,0,129,182,10,141,8,0,2,57,7,2,2,2,25,0,1,0,19,51,0,143,2,2,8,0,0,2,5,1,0,1,1,11,3,4,4,12,40,8,1,0,11,2,0,38,6,16,1,13,0,2,9,2,0,0,6,5,8,8,1,332,2,1,1,0,56,10,199,15,14,26,1,1,0,3,30,49,0,0,5,0,0,1,0,4
170,沙湾镇,10,1,1,12,0,33,546,4,1,0,0,26,9,53,216,8,0,0,202,8,22,0,80,4,41,1020,11,1658,0,12,11,13,0,0,0,0,5,2,0,76,4,0,2,8,4,1,0,3,0,141,0,10,0,34,347,88,3,117,12,0,147,123,23,7,0,2,12,0,1,0,0,15,2,31,5,0,12,14,0,0,11,0,0,1,0,34,5,50,14,7,24,4,11,0,2,3,0,68,0,24,0,4,0,0,2,1,1,4,2,6,14,4,1,159,2,5,4,0,19,5,110,7,1,36,1,1,0,4,4,10,0,1,0,1,0,11,0,8
171,金花街道,6,2,1,4,0,18,167,3,0,0,0,7,0,39,63,0,0,0,84,8,2,0,5,0,4,153,0,469,0,28,0,0,0,0,0,0,1,7,0,28,0,0,1,8,3,6,0,1,0,37,0,11,0,0,61,15,7,47,1,0,1,41,7,1,0,1,10,1,0,0,2,7,0,7,3,1,1,0,0,1,13,0,0,0,0,4,0,4,2,0,12,2,0,0,0,1,0,22,1,7,0,7,1,0,3,0,0,0,2,1,6,3,0,57,1,3,3,0,4,5,53,2,1,7,0,0,0,0,3,7,0,0,0,0,0,4,0,0
172,同德街道,4,4,1,9,0,27,310,2,1,0,0,23,0,42,173,0,0,0,126,4,7,0,27,0,7,545,4,760,0,31,0,1,0,0,0,0,2,2,0,27,0,0,3,6,0,2,0,0,2,34,0,6,0,1,204,49,6,76,7,1,20,236,14,0,0,4,11,0,0,0,0,8,2,10,1,0,13,1,0,0,7,0,0,0,0,15,3,22,21,5,34,4,2,0,1,0,0,76,0,15,1,12,1,0,1,3,0,0,1,0,3,2,0,87,0,2,0,0,6,4,45,9,0,13,0,3,0,2,2,9,0,0,0,0,0,7,0,0
173,东环街道,17,1,0,12,0,29,467,3,0,40,0,37,1,60,238,4,0,0,299,14,37,2,59,0,24,1188,10,1575,0,62,3,2,0,1,1,0,12,7,0,48,0,0,5,16,8,4,2,1,0,120,0,19,0,9,115,110,1,124,6,0,23,88,21,2,0,1,13,0,0,0,4,18,2,12,2,0,27,6,0,0,11,0,0,0,1,37,9,104,28,163,35,6,9,0,9,4,1,124,1,18,0,4,2,0,6,3,0,0,4,1,3,2,1,136,1,2,1,1,19,11,72,12,1,34,0,4,0,1,11,11,0,0,1,0,0,12,0,6
174,市桥街道,48,18,7,53,0,153,1285,4,2,5,1,25,4,235,565,29,0,2,678,40,38,3,131,2,63,1124,11,4385,0,182,2,3,1,4,0,0,4,22,0,217,2,0,9,49,12,23,7,3,5,447,0,94,0,13,701,370,8,329,14,1,20,336,36,7,0,3,63,0,5,0,10,109,0,90,5,1,66,6,0,0,46,0,0,0,0,77,15,77,85,38,156,17,16,0,6,8,0,151,6,64,6,33,0,0,5,6,0,1,22,5,34,20,1,747,1,2,4,0,106,28,301,30,10,70,5,6,0,10,46,57,0,0,3,0,0,15,0,0
175,嘉禾街道,19,5,2,18,0,49,1537,4,1,15,0,118,6,80,721,6,0,0,360,13,49,0,104,2,18,1715,9,3235,0,107,2,1,0,0,0,0,4,11,0,155,0,0,21,15,4,2,3,1,7,148,0,58,0,17,414,205,11,477,8,0,143,189,28,2,0,0,46,0,0,0,2,61,8,31,2,0,237,5,0,0,41,0,0,0,2,72,11,97,49,35,81,14,4,0,4,6,0,407,1,52,4,21,5,0,6,5,0,1,9,2,11,29,1,483,0,4,9,0,58,11,202,29,2,95,0,3,0,3,25,18,0,0,14,0,0,52,0,3
176,桥南街道,27,3,2,42,0,89,542,7,5,4,0,20,2,106,231,5,0,1,377,38,29,1,95,3,14,1098,11,2129,0,33,2,15,1,8,0,0,2,18,0,103,0,0,8,43,7,5,2,4,0,358,0,44,0,1,502,110,6,120,15,0,42,146,35,1,0,2,20,0,5,0,4,34,0,38,4,0,32,0,0,0,33,0,0,1,1,65,5,73,25,49,76,9,13,0,4,4,0,96,2,28,2,17,0,0,5,6,0,0,3,1,20,5,0,353,0,3,3,1,73,22,134,35,3,22,2,5,0,2,22,29,0,0,1,0,0,9,0,3
177,棠景街道,4,4,2,13,0,21,477,3,1,1,0,43,1,67,275,1,0,0,191,10,5,1,35,0,8,509,2,1303,0,61,0,0,0,0,0,0,2,3,0,54,0,0,5,6,2,5,2,0,6,41,0,20,0,11,342,67,4,160,6,0,90,102,12,3,0,4,20,0,1,0,1,18,0,17,0,0,54,4,0,0,15,0,0,0,0,8,6,25,22,5,46,8,2,0,1,1,0,121,0,14,0,6,1,0,2,0,0,0,6,1,6,7,0,145,0,0,1,0,18,5,60,16,1,28,1,2,0,1,5,4,0,0,2,0,0,10,0,1
178,沙头街道,6,0,1,6,0,8,291,1,0,2,0,26,0,26,209,1,0,0,133,5,12,1,37,1,27,910,7,1040,0,23,2,8,1,0,1,0,4,2,0,31,1,0,3,3,8,4,2,2,1,38,0,6,0,10,82,32,2,91,7,0,66,105,16,1,0,6,8,0,0,0,0,17,3,18,1,0,7,3,0,0,6,0,0,0,0,17,4,31,6,14,9,1,3,2,5,0,0,51,1,6,0,1,1,0,3,3,0,0,2,2,4,4,2,66,1,0,0,0,6,5,43,8,1,20,0,0,0,1,2,13,0,0,0,0,0,9,0,0
179,洛浦街道,22,6,2,29,0,105,1054,4,1,4,0,33,3,105,519,8,0,0,329,38,15,1,104,1,31,1248,6,3084,0,64,3,14,0,1,0,0,4,10,0,120,1,0,10,24,6,8,2,0,18,255,0,41,0,11,1028,193,4,282,14,0,84,222,51,2,0,1,32,0,0,0,6,66,4,48,1,0,68,2,0,0,28,0,0,0,0,39,17,58,20,16,83,10,6,6,3,9,0,193,2,45,0,12,1,0,6,6,0,1,8,3,6,12,4,448,1,4,0,0,45,19,181,37,2,71,6,3,0,3,21,20,0,0,1,0,0,20,0,0
180,石壁街道,5,0,3,0,0,10,281,4,0,2,0,12,3,12,176,1,0,10,122,1,27,0,46,0,60,613,13,992,0,8,6,68,0,0,0,0,5,0,0,39,0,0,2,9,1,2,3,0,36,20,0,2,0,11,208,24,2,108,5,0,54,39,20,2,0,0,5,0,0,0,1,9,1,3,3,0,120,4,2,0,3,0,0,0,0,9,18,27,8,9,12,1,6,3,0,0,166,56,1,7,0,1,0,0,5,1,0,0,18,0,5,0,0,44,0,3,0,0,37,2,40,7,0,32,1,2,0,0,1,5,1,0,3,0,0,3,0,0
181,香湾街道,29,2,4,28,0,31,287,2,0,0,0,0,3,102,173,3,0,0,266,9,7,1,37,0,24,241,9,1027,0,40,0,0,0,0,2,0,1,2,0,88,1,0,2,29,6,11,2,3,0,193,0,23,0,1,90,101,1,93,5,0,1,109,17,0,0,0,24,2,2,0,6,21,0,27,6,1,8,4,0,0,20,1,0,0,1,19,2,6,3,3,23,6,2,3,3,3,0,35,1,11,0,9,0,0,4,2,1,0,4,1,25,4,0,148,1,0,0,0,20,8,85,19,7,20,1,2,0,2,9,28,0,0,0,0,0,2,0,1
182,人和镇,28,7,8,25,0,25,1157,11,3,15,3,62,6,58,634,4,0,10,306,6,69,1,219,6,147,1718,11,2867,0,58,29,20,0,1,0,1,5,3,0,127,1,0,8,18,4,6,7,3,15,90,0,25,0,32,478,143,3,331,19,0,137,199,38,6,0,6,31,1,0,0,2,28,13,35,5,0,183,11,0,0,20,0,0,0,1,55,66,81,35,37,71,5,15,1,2,3,2,215,2,38,0,11,1,0,5,5,0,1,25,3,6,13,1,286,0,3,2,0,18,13,135,51,3,83,4,2,0,6,11,30,0,0,2,29,0,35,0,1
183,太和镇,33,15,4,42,0,153,2735,10,3,21,0,147,3,203,1630,8,0,1,621,29,91,1,250,8,71,3377,18,5775,2,133,53,20,2,1,0,2,17,9,1,311,0,0,29,13,12,9,1,6,10,238,0,52,0,37,1264,344,13,751,27,0,303,479,76,12,0,19,67,0,2,0,3,62,13,58,9,0,442,32,1,0,39,0,0,1,1,195,28,326,273,173,158,23,23,1,6,9,0,1198,4,116,2,21,3,0,13,6,0,4,14,2,17,18,0,699,1,3,18,0,44,15,288,68,4,257,3,8,0,8,29,30,0,2,4,0,0,108,0,18
184,江高镇,16,7,0,13,0,11,825,8,0,5,0,39,1,47,416,4,0,0,128,6,12,1,177,2,67,1406,5,1724,1,12,16,42,0,0,1,0,8,1,0,86,2,0,5,8,5,0,0,1,0,65,0,32,0,33,418,101,13,242,18,1,148,195,30,10,1,3,22,0,1,0,0,19,10,26,8,0,65,10,0,0,10,0,0,0,0,33,0,74,82,26,29,2,7,1,1,3,4,170,2,24,0,12,0,0,6,3,0,1,3,2,7,10,0,186,0,0,13,0,22,3,145,25,4,59,2,2,0,10,2,19,0,0,1,0,0,32,0,15
185,南山街道,41,7,1,67,0,88,988,6,5,1,2,25,6,173,340,6,0,0,608,57,57,0,91,0,66,834,11,2057,0,95,2,1,1,1,0,0,7,13,0,120,1,0,4,46,1,12,2,3,38,233,0,56,0,10,331,87,4,268,9,0,12,171,37,6,0,0,34,0,1,0,12,41,2,44,1,1,22,5,0,0,16,0,0,0,0,29,3,42,38,32,81,17,8,10,6,6,23,117,2,22,7,7,2,0,3,12,0,1,11,1,10,16,2,307,1,13,0,0,34,24,129,34,2,50,3,4,0,7,16,53,0,0,2,0,0,18,0,1
186,雅瑶镇,2,3,3,3,0,7,175,7,0,1,0,4,0,39,181,0,0,0,119,0,10,0,43,1,14,260,7,557,0,10,1,2,0,1,0,0,4,2,0,28,0,0,0,1,0,2,0,0,0,27,0,0,0,5,138,32,2,36,3,0,31,97,11,5,0,5,7,0,0,0,1,6,0,8,3,0,12,5,0,0,5,0,0,0,0,17,1,17,14,7,13,0,3,0,1,1,0,33,0,12,0,3,2,0,5,2,0,1,0,2,2,3,0,43,0,1,3,0,1,3,23,8,1,25,1,0,0,2,3,3,0,0,0,0,0,1,0,2
187,龙津街道,5,0,1,6,0,18,90,0,0,0,0,2,1,20,34,0,0,0,43,3,2,0,11,0,17,23,1,357,0,6,0,0,0,0,0,0,0,0,0,14,1,0,0,6,1,4,0,1,6,34,0,4,0,0,39,8,0,19,1,0,0,28,2,1,0,1,5,0,0,0,0,4,0,5,0,1,5,2,0,0,3,0,0,0,0,1,0,1,0,1,5,3,0,0,0,2,0,6,0,3,0,6,1,0,2,0,0,0,4,1,1,1,0,44,0,1,1,0,5,5,41,3,0,5,1,1,0,0,1,9,0,0,0,0,0,1,0,0
188,京溪街道,20,2,5,17,0,81,551,3,1,0,0,2,1,61,218,1,0,2,197,23,4,0,22,0,41,255,1,1318,0,28,0,0,0,0,0,0,0,6,0,79,1,0,6,7,1,10,0,2,3,125,0,37,0,7,316,74,7,179,4,0,3,117,20,0,0,4,13,0,1,0,1,29,2,19,1,0,83,4,0,0,10,0,0,0,0,9,2,11,5,5,49,9,2,0,4,5,0,85,2,16,0,13,0,0,5,3,0,0,7,1,55,5,0,247,1,1,2,1,19,6,112,28,3,26,0,1,0,2,5,16,0,0,0,0,0,8,0,11
189,均禾街道,9,5,1,21,0,20,1239,4,1,21,0,129,3,49,886,3,0,0,312,6,24,0,132,1,40,2002,12,3170,0,51,4,3,1,0,0,1,7,4,0,170,0,0,15,2,14,3,1,0,1,93,0,14,0,20,723,236,5,389,11,0,255,209,41,11,0,3,57,0,0,0,1,35,2,33,6,0,126,14,0,0,38,0,0,0,0,63,16,144,51,55,59,10,11,2,3,6,0,389,1,65,0,17,1,0,4,4,0,1,4,4,11,25,0,460,1,2,8,0,17,4,153,37,4,111,2,4,0,5,6,8,0,0,1,0,0,48,0,3
190,东沙街道,3,1,1,4,0,6,202,2,0,0,0,20,0,29,121,3,0,0,83,0,8,0,37,0,11,399,3,546,0,7,0,3,0,0,0,0,2,0,0,63,0,0,0,2,0,0,0,0,4,12,0,1,0,0,74,22,2,40,6,1,18,32,6,2,0,5,7,0,0,0,0,13,6,6,0,0,11,0,0,1,2,0,0,0,0,17,1,26,13,7,11,0,1,0,1,0,0,47,0,11,0,4,0,0,2,1,0,1,0,0,5,2,0,31,0,3,0,0,4,2,21,9,2,20,1,0,0,1,1,3,0,0,0,0,0,11,0,0
191,华林街道,5,2,1,11,0,25,149,3,0,0,0,1,0,42,55,0,0,0,53,1,0,0,16,0,23,45,0,1047,0,8,0,0,0,0,1,0,0,0,0,16,3,0,1,21,4,4,0,0,6,12,0,13,0,1,67,18,1,37,5,0,2,54,4,2,0,0,9,0,0,0,0,8,0,4,3,0,4,22,0,0,12,0,0,0,0,1,1,0,0,4,16,0,0,0,0,1,0,16,0,11,0,6,2,0,0,0,0,4,4,0,1,0,0,62,2,0,0,1,3,3,67,4,2,9,0,0,0,2,9,9,0,0,2,0,0,0,0,0
192,新市街道,22,8,3,33,0,79,1014,4,1,3,2,38,6,98,369,4,0,0,357,21,27,1,92,6,73,648,9,2730,0,64,0,0,2,0,0,0,1,9,0,112,0,0,7,18,6,3,1,2,11,166,0,54,0,11,400,177,6,237,8,1,170,203,25,11,1,1,39,0,8,0,0,42,2,63,1,0,65,5,0,2,36,0,0,0,0,22,10,33,12,14,83,17,4,0,11,7,1,139,7,40,1,30,6,0,6,1,0,0,6,0,31,19,0,395,1,3,6,1,32,12,194,30,3,68,3,3,0,7,15,30,0,0,3,0,0,18,0,2
193,东漖街道,4,0,1,6,0,6,140,4,0,2,0,2,1,29,60,0,0,0,84,3,11,0,27,0,10,111,4,316,0,5,0,17,0,0,1,0,1,1,0,16,0,0,0,0,2,1,0,0,3,16,0,7,0,8,39,19,0,43,2,0,5,59,12,1,0,3,6,0,0,0,0,3,0,10,1,1,6,1,0,0,6,0,0,0,0,0,2,4,2,1,15,1,1,0,2,0,0,53,0,13,0,1,1,0,1,1,0,1,1,1,7,0,0,47,0,1,0,0,10,1,19,3,0,21,0,0,0,2,1,5,0,0,0,0,0,4,0,1
194,中南街道,2,0,0,3,0,8,211,2,0,1,0,5,0,23,120,0,0,0,81,1,3,1,29,0,5,271,4,606,0,0,0,233,0,0,0,0,2,0,0,17,0,0,0,1,4,0,0,0,3,8,0,4,0,1,163,26,1,41,2,0,17,107,5,2,0,3,2,0,0,0,0,4,4,5,0,0,17,0,0,0,3,2,0,0,0,6,2,16,6,1,13,0,4,0,0,0,0,111,0,8,2,4,0,0,2,0,0,0,0,0,6,1,0,43,0,1,0,0,1257,4,17,2,1,26,1,1,0,0,1,3,0,0,1,0,0,5,0,0
